cart_id,user_id,product_id,quantity,price,total_cart_value,first_name,age,city,name,category
11,172,74,3,4.99,14.97,Ariana,36,Chicago,,
11,172,145,3,29.99,89.97,Ariana,36,Chicago,,
11,172,26,3,0.99,2.97,Ariana,36,Chicago,,
11,172,127,1,299.99,299.99,Ariana,36,Chicago,Oppo K1,smartphones
12,202,63,4,7.99,31.96,Caleb,36,Philadelphia,,
12,202,181,5,179.99,899.95,Caleb,36,Philadelphia,Marni Red & Black Suit,womens-dresses
13,41,85,2,34.99,69.98,Evan,32,San Antonio,,
13,41,109,3,19.99,59.97,Evan,32,San Antonio,,
13,41,160,1,599.99,599.99,Evan,32,San Antonio,Samsung Galaxy Tab S8 Plus Grey,tablets
13,41,163,3,19.99,59.97,Evan,32,San Antonio,,
13,41,31,4,0.79,3.16,Evan,32,San Antonio,,
14,94,92,3,109.99,329.97,Ruby,28,Dallas,Sports Sneakers Off White Red,mens-shoes
14,94,54,5,8.99,44.95,Ruby,28,Dallas,,
14,94,76,1,11.99,11.99,Ruby,28,Dallas,,
14,94,44,5,29.99,149.95,Ruby,28,Dallas,,
14,94,67,3,15.99,47.97,Ruby,28,Dallas,,
14,94,16,1,1.99,1.99,Ruby,28,Dallas,,
15,11,11,5,1899.99,9499.95,Liam,29,Denver,Annibale Colombo Bed,furniture
15,11,133,3,699.99,2099.9700000000003,Liam,29,Denver,Samsung Galaxy S10,smartphones
15,11,111,3,12.99,38.97,Liam,29,Denver,,
15,11,162,3,29.99,89.97,Liam,29,Denver,,
15,11,30,5,2.49,12.45,Liam,29,Denver,,
16,200,19,2,9.99,19.98,Adrian,43,New York,,
16,200,152,3,49.99,149.97,Adrian,43,New York,,
16,200,35,1,2.29,2.29,Adrian,43,New York,,
17,141,1,2,9.99,19.98,Owen,43,Charlotte,,
17,141,60,3,10.99,32.97,Owen,43,Charlotte,,
17,141,74,4,4.99,19.96,Owen,43,Charlotte,,
17,141,44,4,29.99,119.96,Owen,43,Charlotte,,
18,189,127,4,299.99,1199.96,Tristan,30,San Diego,Oppo K1,smartphones
18,189,24,3,14.99,44.97,Tristan,30,San Diego,,
18,189,20,5,4.99,24.950000000000003,Tristan,30,San Diego,,
18,189,154,3,29.99,89.97,Tristan,30,San Diego,,
18,189,44,2,29.99,59.98,Tristan,30,San Diego,,
18,189,5,5,8.99,44.95,Tristan,30,San Diego,,
19,59,187,3,49.99,149.97,Ethan,33,Dallas,,
19,59,153,5,11.99,59.95,Ethan,33,Dallas,,
19,59,34,3,7.99,23.97,Ethan,33,Dallas,,
19,59,130,2,349.99,699.98,Ethan,33,Dallas,Realme XT,smartphones
20,90,107,1,49.99,49.99,Scarlett,27,New York,,
20,90,193,3,799.99,2399.9700000000003,Scarlett,27,New York,Watch Gold for Women,womens-watches
20,90,100,3,129.99,389.97,Scarlett,27,New York,Apple Airpods,mobile-accessories
20,90,90,5,89.99,449.95,Scarlett,27,New York,Puma Future Rider Trainers,mens-shoes
20,90,118,5,8.99,44.95,Scarlett,27,New York,,
20,90,166,5,39.99,199.95,Scarlett,27,New York,,
21,42,77,2,5.99,11.98,Avery,28,San Diego,,
21,42,91,2,119.99,239.98,Avery,28,San Diego,Sports Sneakers Off White & Red,mens-shoes
22,140,73,5,19.99,99.95,Hannah,35,Indianapolis,,
22,140,2,2,19.99,39.98,Hannah,35,Indianapolis,,
22,140,69,2,3.99,7.98,Hannah,35,Indianapolis,,
22,140,155,3,24.99,74.97,Hannah,35,Indianapolis,,
23,147,82,5,1499.99,7499.95,Henry,44,Philadelphia,New DELL XPS 13 9300 Laptop,laptops
23,147,172,4,49.99,199.96,Henry,44,Philadelphia,,
23,147,41,2,2.49,4.98,Henry,44,Philadelphia,,
23,147,37,4,1.99,7.96,Henry,44,Philadelphia,,
23,147,138,5,8.99,44.95,Henry,44,Philadelphia,,
24,6,108,5,29.99,149.95,Olivia,22,Fort Worth,,
24,6,134,4,249.99,999.96,Olivia,22,Fort Worth,Vivo S1,smartphones
24,6,174,1,599.99,599.99,Olivia,22,Fort Worth,Prada Women Bag,womens-bags
25,118,4,1,12.99,12.99,Benjamin,30,Philadelphia,,
25,118,126,1,399.99,399.99,Benjamin,30,Philadelphia,Oppo F19 Pro Plus,smartphones
26,66,37,5,1.99,9.95,Aria,27,San Diego,,
26,66,128,3,149.99,449.97,Aria,27,San Diego,Realme C35,smartphones
27,75,33,1,4.99,4.99,Ryan,31,San Antonio,,
27,75,110,2,14.99,29.98,Ryan,31,San Antonio,,
27,75,16,3,1.99,5.97,Ryan,31,San Antonio,,
27,75,83,5,29.99,149.95,Ryan,31,San Antonio,,
28,147,1,5,9.99,49.95,Henry,44,Philadelphia,,
28,147,141,4,39.99,159.96,Henry,44,Philadelphia,,
29,170,80,2,1399.99,2799.98,Penelope,33,Los Angeles,Huawei Matebook X Pro,laptops
29,170,107,4,49.99,199.96,Penelope,33,Los Angeles,,
29,170,25,2,1.29,2.58,Penelope,33,Los Angeles,,
29,170,121,4,199.99,799.96,Penelope,33,Los Angeles,iPhone 5s,smartphones
29,170,153,5,11.99,59.95,Penelope,33,Los Angeles,,
30,177,181,1,179.99,179.99,Xavier,37,Jacksonville,Marni Red & Black Suit,womens-dresses
30,177,171,4,31999.99,127999.96,Xavier,37,Jacksonville,Pacifica Touring,vehicle
30,177,35,4,2.29,9.16,Xavier,37,Jacksonville,,
30,177,46,4,14.99,59.96,Xavier,37,Jacksonville,,
31,143,41,4,2.49,9.96,Grayson,30,San Francisco,,
31,143,10,3,79.99,239.97,Grayson,30,San Francisco,Gucci Bloom Eau de,fragrances
31,143,124,3,899.99,2699.9700000000003,Grayson,30,San Francisco,iPhone X,smartphones
31,143,160,3,599.99,1799.97,Grayson,30,San Francisco,Samsung Galaxy Tab S8 Plus Grey,tablets
32,164,134,2,249.99,499.98,Addison,29,San Francisco,Vivo S1,smartphones
32,164,97,5,10999.99,54999.95,Addison,29,San Francisco,Rolex Datejust,mens-watches
32,164,190,2,4999.99,9999.98,Addison,29,San Francisco,IWC Ingenieur Automatic Steel,womens-watches
32,164,20,4,4.99,19.96,Addison,29,San Francisco,,
33,181,105,2,99.99,199.98,Brandon,26,Dallas,Apple MagSafe Battery Pack,mobile-accessories
33,181,49,5,5.99,29.950000000000003,Brandon,26,Dallas,,
34,203,89,5,79.99,399.95,Nova,31,Los Angeles,Nike Baseball Cleats,mens-shoes
34,203,93,4,89.99,359.96,Nova,31,Los Angeles,Brown Leather Belt Watch,mens-watches
34,203,55,3,6.99,20.97,Nova,31,Los Angeles,,
34,203,57,5,9.99,49.95,Nova,31,Los Angeles,,
35,153,104,5,19.99,99.95,Christian,31,Chicago,,
35,153,54,2,8.99,17.98,Christian,31,Chicago,,
35,153,152,1,49.99,49.99,Christian,31,Chicago,,
35,153,56,5,49.99,249.95,Christian,31,Chicago,,
36,176,26,1,0.99,0.99,Aaliyah,28,New York,,
36,176,165,5,24.99,124.95,Aaliyah,28,New York,,
36,176,106,5,349.99,1749.95,Aaliyah,28,New York,Apple Watch Series 4 Gold,mobile-accessories
37,33,171,5,31999.99,159999.95,Carter,31,Denver,Pacifica Touring,vehicle
37,33,71,4,39.99,159.96,Carter,31,Denver,,
37,33,68,4,24.99,99.96,Carter,31,Denver,,
37,33,182,1,29.99,29.99,Carter,31,Denver,,
38,15,44,5,29.99,149.95,William,32,San Jose,,
38,15,68,3,24.99,74.97,William,32,San Jose,,
38,15,149,4,49.99,199.96,William,32,San Jose,,
38,15,139,3,24.99,74.97,William,32,San Jose,,
38,15,150,2,29.99,59.98,William,32,San Jose,,
38,15,133,4,699.99,2799.96,William,32,San Jose,Samsung Galaxy S10,smartphones
39,81,179,3,79.99,239.97,Austin,29,Los Angeles,Corset With Black Skirt,womens-dresses
39,81,39,1,1.99,1.99,Austin,29,Los Angeles,,
39,81,143,1,29.99,29.99,Austin,29,Los Angeles,,
39,81,18,4,8.99,35.96,Austin,29,Los Angeles,,
39,81,158,3,22.99,68.97,Austin,29,Los Angeles,,
39,81,97,4,10999.99,43999.96,Austin,29,Los Angeles,Rolex Datejust,mens-watches
40,187,138,1,8.99,8.99,Zachary,36,Dallas,,
40,187,51,2,39.99,79.98,Zachary,36,Dallas,,
40,187,101,4,549.99,2199.96,Zachary,36,Dallas,Apple AirPods Max Silver,mobile-accessories
40,187,153,3,11.99,35.97,Zachary,36,Dallas,,
40,187,164,5,34.99,174.95000000000002,Zachary,36,Dallas,,
40,187,171,3,31999.99,95999.97,Zachary,36,Dallas,Pacifica Touring,vehicle
41,184,25,4,1.29,5.16,Natalie,28,Washington,,
41,184,50,1,9.99,9.99,Natalie,28,Washington,,
41,184,151,4,6.99,27.96,Natalie,28,Washington,,
41,184,42,1,0.99,0.99,Natalie,28,Washington,,
41,184,10,5,79.99,399.95,Natalie,28,Washington,Gucci Bloom Eau de,fragrances
41,184,103,5,99.99,499.95,Natalie,28,Washington,Apple HomePod Mini Cosmic Grey,mobile-accessories
42,67,113,3,3999.99,11999.97,Gabriel,34,San Jose,Generic Motorcycle,motorcycle
42,67,64,4,14.99,59.96,Gabriel,34,San Jose,,
43,35,182,1,29.99,29.99,Jack,29,Phoenix,,
43,35,149,3,49.99,149.97,Jack,29,Phoenix,,
44,20,93,3,89.99,269.97,Jackson,34,New York,Brown Leather Belt Watch,mens-watches
44,20,4,2,12.99,25.98,Jackson,34,New York,,
44,20,140,5,14.99,74.95,Jackson,34,New York,,
44,20,83,3,29.99,89.97,Jackson,34,New York,,
45,50,50,2,9.99,19.98,Stella,33,Jacksonville,,
45,50,29,4,3.99,15.96,Stella,33,Jacksonville,,
45,50,144,5,44.99,224.95,Stella,33,Jacksonville,,
46,93,79,2,1799.99,3599.98,Julian,34,Fort Worth,Asus Zenbook Pro Dual Screen Laptop,laptops
46,93,69,1,3.99,3.99,Julian,34,Fort Worth,,
47,23,92,1,109.99,109.99,Chloe,39,Dallas,Sports Sneakers Off White Red,mens-shoes
47,23,93,3,89.99,269.97,Chloe,39,Dallas,Brown Leather Belt Watch,mens-watches
47,23,38,4,5.99,23.96,Chloe,39,Dallas,,
47,23,33,3,4.99,14.97,Chloe,39,Dallas,,
47,23,53,3,12.99,38.97,Chloe,39,Dallas,,
48,33,40,2,3.99,7.98,Carter,31,Denver,,
48,33,190,2,4999.99,9999.98,Carter,31,Denver,IWC Ingenieur Automatic Steel,womens-watches
49,86,15,4,799.99,3199.96,Nora,26,San Jose,Wooden Bathroom Sink With Mirror,furniture
49,86,76,3,11.99,35.97,Nora,26,San Jose,,
49,86,39,3,1.99,5.97,Nora,26,San Jose,,
49,86,158,5,22.99,114.95,Nora,26,San Jose,,
49,86,110,4,14.99,59.96,Nora,26,San Jose,,
49,86,124,4,899.99,3599.96,Nora,26,San Jose,iPhone X,smartphones
50,52,25,1,1.29,1.29,Grace,26,Seattle,,
50,52,85,1,34.99,34.99,Grace,26,Seattle,,
